,game_identifier,image_path,centre_tile,context_string,features
18310,kid_icarus,../data/context_data/kid_icarus/#/-D####TTT.png,#,-D####TTT,['solid']
798,lode_runner,../data/context_data/lode_runner/G/B@bbGb@@@.png,G,B@bbGb@@@,"['passable', 'collectable']"
16039,lode_runner,../data/context_data/lode_runner/b/bb bb GG .png,b,bb bb GG ,"['solid', 'breakable']"
16204,lode_runner,../data/context_data/lode_runner/b/bbbbb@bb#.png,b,bbbbb@bb#,"['solid', 'breakable']"
13007,lode_runner,../data/context_data/lode_runner/b/ B@ b@ b@.png,b, B@ b@ b@,"['solid', 'breakable']"
3371,lode_runner,../data/context_data/lode_runner/@/@bb@@Ebbb.png,@,@bb@@Ebbb,"['passable', 'empty']"
7045,lode_runner,../data/context_data/lode_runner/-/bbb---@GG.png,-,bbb---@GG,"['passable', 'climbable']"
1164,lode_runner,../data/context_data/lode_runner/@/@@@G@@#@@.png,@,@@@G@@#@@,"['passable', 'empty']"
20753,megaman,../data/context_data/megaman/-/-##--#@@@.png,-,-##--#@@@,"['passable', 'empty']"
1979,lode_runner,../data/context_data/lode_runner/@/#@-#@-#@-.png,@,#@-#@-#@-,"['passable', 'empty']"
8250,lode_runner,../data/context_data/lode_runner/B/@@@bB@---.png,B,@@@bB@---,['solid']
21314,megaman,../data/context_data/megaman/#/#--##C---.png,#,#--##C---,['solid']
21684,megaman,../data/context_data/megaman/C/|--CC#CC#.png,C,|--CC#CC#,"['solid', 'hazard']"
791,lode_runner,../data/context_data/lode_runner/G/@@ @G    .png,G,@@ @G    ,"['passable', 'collectable']"
18996,megaman,../data/context_data/megaman/-/------@--.png,-,------@--,"['passable', 'empty']"
1248,lode_runner,../data/context_data/lode_runner/@/@--#@@#b@.png,@,@--#@@#b@,"['passable', 'empty']"
15679,lode_runner,../data/context_data/lode_runner/b/ @@ bb GG.png,b, @@ bb GG,"['solid', 'breakable']"
11693,lode_runner,../data/context_data/lode_runner/#/-@@@#E###.png,#,-@@@#E###,"['passable', 'climbable']"
8036,lode_runner,../data/context_data/lode_runner/B/@@bBBb@@b.png,B,@@bBBb@@b,['solid']
1879,lode_runner,../data/context_data/lode_runner/@/#@@#@@#EG.png,@,#@@#@@#EG,"['passable', 'empty']"
20589,megaman,../data/context_data/megaman/-/M-------M.png,-,M-------M,"['passable', 'empty']"
9047,lode_runner,../data/context_data/lode_runner/B/b#@BBB@@M.png,B,b#@BBB@@M,['solid']
20865,megaman,../data/context_data/megaman/H/---HH-###.png,H,---HH-###,"['solid', 'hazard']"
13973,lode_runner,../data/context_data/lode_runner/b/@@@@bG@@@.png,b,@@@@bG@@@,"['solid', 'breakable']"
19104,megaman,../data/context_data/megaman/-/--@--@HH@.png,-,--@--@HH@,"['passable', 'empty']"
5623,lode_runner,../data/context_data/lode_runner/@/--@@@-BbB.png,@,--@@@-BbB,"['passable', 'empty']"
494,lode_runner,../data/context_data/lode_runner/G/bb@bG@bbb.png,G,bb@bG@bbb,"['passable', 'collectable']"
1921,lode_runner,../data/context_data/lode_runner/@/@E@@@@@@B.png,@,@E@@@@@@B,"['passable', 'empty']"
3477,lode_runner,../data/context_data/lode_runner/@/bbbb@@b#@.png,@,bbbb@@b#@,"['passable', 'empty']"
6950,lode_runner,../data/context_data/lode_runner/-/bG#b-#bG#.png,-,bG#b-#bG#,"['passable', 'climbable']"
