,game_identifier,image_path,centre_tile,context_string,features
13960,lode_runner,../data/context_data/lode_runner/b/bbBbbbBbb.png,b,bbBbbbBbb,"['solid', 'breakable']"
21938,smb,../data/context_data/smb/-/-----EX<>.png,-,-----EX<>,"['passable', 'empty']"
11344,lode_runner,../data/context_data/lode_runner/#/b#bb#G   .png,#,b#bb#G   ,"['passable', 'climbable']"
3547,lode_runner,../data/context_data/lode_runner/@/B@@B@@BE@.png,@,B@@B@@BE@,"['passable', 'empty']"
8901,lode_runner,../data/context_data/lode_runner/B/bbbBBBG@B.png,B,bbbBBBG@B,['solid']
4478,lode_runner,../data/context_data/lode_runner/@/@@@E@@b@b.png,@,@@@E@@b@b,"['passable', 'empty']"
17925,kid_icarus,../data/context_data/kid_icarus/-/--D--DTTT.png,-,--D--DTTT,"['passable', 'empty']"
20706,megaman,../data/context_data/megaman/-/------#-|.png,-,------#-|,"['passable', 'empty']"
11995,lode_runner,../data/context_data/lode_runner/#/ @@ #B #B.png,#, @@ #B #B,"['passable', 'climbable']"
24788,loz,../data/context_data/loz/F/F--FF--FF.png,F,F--FF--FF,['solid']
113,lode_runner,../data/context_data/lode_runner/G/b@@@G@#b@.png,G,b@@@G@#b@,"['passable', 'collectable']"
7502,lode_runner,../data/context_data/lode_runner/-/@@#---@@@.png,-,@@#---@@@,"['passable', 'climbable']"
11787,lode_runner,../data/context_data/lode_runner/#/##B@###@@.png,#,##B@###@@,"['passable', 'climbable']"
10768,lode_runner,../data/context_data/lode_runner/#/b#@-#-b@@.png,#,b#@-#-b@@,"['passable', 'climbable']"
4712,lode_runner,../data/context_data/lode_runner/@/#@##@@bbb.png,@,#@##@@bbb,"['passable', 'empty']"
9223,lode_runner,../data/context_data/lode_runner/B/B@@BB@B@@.png,B,B@@BB@B@@,['solid']
15827,lode_runner,../data/context_data/lode_runner/b/#Gb#bG#@#.png,b,#Gb#bG#@#,"['solid', 'breakable']"
6015,lode_runner,../data/context_data/lode_runner/@/#@b#@b#@b.png,@,#@b#@b#@b,"['passable', 'empty']"
5766,lode_runner,../data/context_data/lode_runner/@/BBB@@@#@@.png,@,BBB@@@#@@,"['passable', 'empty']"
15006,lode_runner,../data/context_data/lode_runner/b/GGbbbb---.png,b,GGbbbb---,"['solid', 'breakable']"
160,lode_runner,../data/context_data/lode_runner/G/@G@@G@@@@.png,G,@G@@G@@@@,"['passable', 'collectable']"
14033,lode_runner,../data/context_data/lode_runner/b/@@@BbBb@@.png,b,@@@BbBb@@,"['solid', 'breakable']"
15216,lode_runner,../data/context_data/lode_runner/b/@bbGbbbb#.png,b,@bbGbbbb#,"['solid', 'breakable']"
10065,lode_runner,../data/context_data/lode_runner/#/@#@@#GE#-.png,#,@#@@#GE#-,"['passable', 'climbable']"
12370,lode_runner,../data/context_data/lode_runner/#/b##b##@@#.png,#,b##b##@@#,"['passable', 'climbable']"
10502,lode_runner,../data/context_data/lode_runner/#/@#B@#@@#b.png,#,@#B@#@@#b,"['passable', 'climbable']"
1882,lode_runner,../data/context_data/lode_runner/@/@@@G@@-#-.png,@,@@@G@@-#-,"['passable', 'empty']"
3095,lode_runner,../data/context_data/lode_runner/@/@b#b@bbbb.png,@,@b#b@bbbb,"['passable', 'empty']"
14357,lode_runner,../data/context_data/lode_runner/b/@#bbb@b@@.png,b,@#bbb@b@@,"['solid', 'breakable']"
5010,lode_runner,../data/context_data/lode_runner/@/@BB@@@@BB.png,@,@BB@@@@BB,"['passable', 'empty']"
25322,loz,../data/context_data/loz/W/WWBWWBWWW.png,W,WWBWWBWWW,"['solid', 'wall']"
24285,loz,../data/context_data/loz/B/BFFBBFBBB.png,B,BFFBBFBBB,"['solid', 'block']"
5237,lode_runner,../data/context_data/lode_runner/@/G@b@@b#bb.png,@,G@b@@b#bb,"['passable', 'empty']"
11951,lode_runner,../data/context_data/lode_runner/#/@#G@#b@@@.png,#,@#G@#b@@@,"['passable', 'climbable']"
23323,smb,../data/context_data/smb/-/-----XE-X.png,-,-----XE-X,"['passable', 'empty']"
7557,lode_runner,../data/context_data/lode_runner/-/@@#--#G@#.png,-,@@#--#G@#,"['passable', 'climbable']"
14001,lode_runner,../data/context_data/lode_runner/b/@@Ebbb@@B.png,b,@@Ebbb@@B,"['solid', 'breakable']"
24736,loz,../data/context_data/loz/F/FFFIFFFFF.png,F,FFFIFFFFF,['solid']
